고객ID,나이,성별,지역,서비스,요금제유형,월정액,월시청시간,월평균접속횟수,프로필수,동시접속이용,구독유형,가입기간_개월,등록기기수,오프라인저장,키즈프로필,추가프로필구매,독점콘텐츠시청,부가서비스수,Netflix_사용,Tving_사용,Disney_사용,CS문의횟수_6개월,불만접수건수,만족도점수,결제방법,결제실패경험,할인율,주사용기기기간_개월,주사용기기,이탈여부
OTT00001,56,남성,제주,Disney+,베이직,9306,32.77,17,5,1,연간 구독,51,4,1,0,0,1,2,0,0,1,1,1,5,휴대폰결제,0,0,9,스마트폰,0
OTT00002,69,남성,경남,Netflix,광고형 스탠다드,5277,122.38,21,5,0,6개월 구독,35,1,1,0,0,0,1,1,0,0,0,0,5,간편결제,0,0,0,스마트TV,0
OTT00003,46,남성,부산,Tving,스탠다드 HD,13483,2.43,11,4,0,월간 구독,22,2,0,0,0,1,1,1,1,0,2,1,5,간편결제,0,15,6,스마트폰,0
OTT00004,32,여성,경기,Netflix,광고형 스탠다드,5880,0.33,19,1,0,월간 구독,46,2,0,1,0,1,2,1,0,1,2,2,5,신용카드,0,10,22,스마트폰,0
OTT00005,60,남성,경기,Tving,스탠다드 HD,13163,148.06,13,1,0,월간 구독,47,3,0,0,0,0,0,1,1,1,1,0,5,간편결제,0,0,9,스마트TV,0
OTT00006,25,여성,경기,Netflix,베이직,9591,64.35,21,5,0,연간 구독,34,2,1,0,0,0,1,1,0,0,1,0,2,신용카드,0,5,2,태블릿,1
OTT00007,38,남성,강원,Tving,베이직,9472,76.47,18,5,0,월간 구독,32,1,1,1,0,0,2,1,1,0,1,0,1,신용카드,0,0,8,스마트폰,1
OTT00008,56,남성,인천,Disney+,프리미엄 4K,17286,123.73,17,5,0,월간 구독,16,1,0,0,1,0,1,0,0,1,2,0,1,간편결제,0,15,8,스마트폰,0
OTT00009,36,여성,경북,Netflix,광고형 스탠다드,5821,208.47,21,5,0,월간 구독,30,1,1,0,0,1,2,1,1,0,0,0,3,간편결제,0,5,8,태블릿,0
OTT00010,40,여성,제주,Disney+,스탠다드 HD,13661,5.14,22,5,0,연간 구독,36,1,1,0,0,1,2,0,0,1,0,0,3,휴대폰결제,0,0,8,PC,0
OTT00011,28,남성,경기,Netflix,스탠다드 HD,13966,8.62,30,1,0,월간 구독,59,1,1,1,1,0,3,1,1,0,0,1,5,간편결제,0,15,20,태블릿,0
OTT00012,28,남성,부산,Netflix,스탠다드 HD,13556,10.45,27,5,0,연간 구독,31,1,1,0,0,1,2,1,0,1,2,0,1,신용카드,0,5,10,스마트폰,0
OTT00013,41,남성,서울,Netflix,베이직,9246,85.3,29,2,0,연간 구독,30,3,1,0,0,1,2,1,0,0,0,1,3,간편결제,0,15,12,스마트폰,0
OTT00014,70,남성,경기,Netflix,스탠다드 HD,13335,21.97,16,2,0,연간 구독,5,1,1,0,1,1,3,1,0,0,2,0,4,간편결제,0,20,20,스마트TV,0
OTT00015,53,여성,경기,Netflix,스탠다드 HD,13716,44.98,22,5,0,월간 구독,24,1,0,1,0,1,2,1,0,0,2,0,3,간편결제,0,15,24,스마트TV,0
OTT00016,57,남성,경기,Netflix,프리미엄 4K,17133,96.63,37,2,1,월간 구독,46,1,1,0,0,1,2,1,1,0,0,0,1,간편결제,0,0,33,태블릿,1
OTT00017,41,남성,경북,Netflix,베이직,9048,57.47,19,1,0,월간 구독,36,1,1,0,0,1,2,1,1,1,0,1,2,신용카드,0,20,30,태블릿,1
OTT00018,20,남성,서울,Netflix,베이직,9695,3.38,21,5,0,6개월 구독,27,1,0,0,1,1,2,1,0,0,2,1,3,간편결제,0,0,24,스마트TV,0
OTT00019,39,여성,인천,Tving,스탠다드 HD,13977,29.5,21,5,0,6개월 구독,14,1,1,0,1,0,2,0,1,0,1,0,2,간편결제,0,0,7,태블릿,0
OTT00020,70,여성,대구,Disney+,프리미엄 4K,17472,3.49,18,5,0,월간 구독,37,1,0,0,1,1,2,1,1,1,0,0,1,신용카드,0,15,21,스마트폰,1
OTT00021,19,남성,울산,Netflix,베이직,10112,32.59,32,3,0,연간 구독,13,2,1,0,0,0,1,1,0,0,1,0,2,신용카드,0,15,22,PC,0
OTT00022,41,여성,경기,Netflix,광고형 스탠다드,5568,12.38,15,3,0,6개월 구독,20,1,0,1,1,0,2,1,0,0,1,1,2,간편결제,0,5,23,태블릿,0
