나이,성별,지역,서비스,요금제유형,월정액,월시청시간,월평균접속횟수,프로필수,동시접속이용,구독유형,가입기간_개월,등록기기수,오프라인저장,키즈프로필,추가프로필구매,독점콘텐츠시청,부가서비스수,CS문의횟수_6개월,불만접수건수,만족도점수,결제방법,결제실패경험,할인율,주사용기기기간_개월,주사용기기,이탈여부,월평균요금,시청시간비율,고객가치점수,CS민감도
56,0,14,0,1,9306,32.77,17,5,1,1,51,4,1,0,0,1,2,0,0,4,1,0,0,35,1,0,9306.0,0.0673157905548366,95.5,0
69,0,2,1,0,5277,122.38,21,5,0,0,35,1,1,0,0,0,1,4,0,1,0,0,0,24,1,0,5277.0,0.25139171339947824,42.5,4
46,0,7,2,2,13483,2.43,11,4,0,2,22,2,0,0,0,1,1,1,0,5,0,0,20,32,1,0,10786.400000000001,0.004991680532445923,76.0,1
32,1,1,1,0,5880,0.33,19,1,0,2,46,2,0,1,0,1,2,1,0,1,1,0,0,13,3,1,5880.0,0.0006778825414432736,63.0,1
60,0,1,2,2,13163,148.06,13,1,0,2,47,3,0,0,0,0,0,1,0,5,0,0,15,6,1,0,11188.55,0.3041433002608821,73.5,1
25,1,1,1,1,9591,64.35,21,5,0,1,34,2,1,0,0,0,1,1,0,2,0,0,0,25,3,0,9591.0,0.13218709558143832,52.0,1
38,0,0,2,1,9472,76.47,18,5,0,2,32,1,1,1,0,0,2,0,0,5,1,0,15,15,2,0,8051.2,0.1570838725580822,96.0,0
56,0,11,0,4,17286,123.73,17,5,0,2,16,1,0,0,1,0,1,1,0,5,0,0,30,11,1,0,12100.199999999999,0.2541648692508371,73.0,1
36,1,3,1,0,5821,208.47,21,5,0,2,30,1,1,0,0,1,2,0,0,3,0,0,10,30,3,0,5238.900000000001,0.42823688913539165,75.0,0
40,1,14,0,2,13661,5.14,22,5,0,1,36,1,1,0,0,1,2,0,0,5,1,0,5,23,2,0,12977.949999999999,0.010558534130358866,98.0,0
28,0,1,1,2,13966,8.62,30,1,0,2,59,1,1,1,1,0,3,1,1,5,1,0,0,7,2,0,13966.0,0.017707113658306115,124.5,4
28,0,7,1,2,13556,10.45,27,5,0,1,31,1,1,0,0,1,2,0,1,5,1,0,0,11,1,0,13556.0,0.021466280479036995,95.5,3
41,0,8,1,1,9246,85.3,29,2,0,1,30,3,1,0,0,1,2,3,1,3,2,1,5,35,1,0,8783.699999999999,0.17522236601548857,75.0,6
70,0,1,1,2,13335,21.97,16,2,0,1,5,1,1,0,1,1,3,0,0,3,1,0,5,13,2,1,12668.25,0.045130543743965815,77.5,0
53,1,1,1,2,13716,44.98,22,5,0,2,24,1,0,1,0,1,2,0,0,1,1,0,0,18,1,0,13716.0,0.0923974445882377,52.0,0
57,0,1,1,4,17133,96.63,37,2,1,2,46,1,1,0,0,1,2,0,0,4,0,0,5,9,2,0,16276.349999999999,0.19849633327170763,93.0,0
41,0,3,1,1,9048,57.47,19,1,0,2,36,1,1,0,0,1,2,2,0,3,1,0,0,15,1,0,9048.0,0.11805427168710585,78.0,2
20,0,8,1,1,9695,3.38,21,5,0,0,27,1,0,0,1,1,2,1,0,4,1,0,0,10,1,0,9695.0,0.006943160575994741,83.5,1
39,1,11,2,2,13977,29.5,21,5,0,0,14,1,1,0,1,0,2,0,0,3,1,0,5,32,3,0,13278.15,0.060598590825989604,67.0,0
70,1,5,0,4,17472,3.49,18,5,0,2,37,1,0,0,1,1,2,3,0,1,0,1,5,7,3,1,16598.399999999998,0.0071691214231425,58.5,3
19,0,10,1,1,10112,32.59,32,3,0,1,13,2,1,0,0,0,1,2,0,5,1,0,10,26,1,0,9100.800000000001,0.06694603644132208,71.5,2
41,1,1,1,0,5568,12.38,15,3,0,0,20,1,0,1,1,0,2,0,0,2,1,0,5,29,1,0,5289.599999999999,0.025430866251720384,60.0,0
61,0,3,1,0,5431,0.07,30,5,0,1,28,2,0,0,0,0,0,1,1,3,0,0,20,11,0,0,4344.8,0.000143793266366755,44.0,4
47,0,7,0,0,5874,83.87,27,5,1,2,51,1,1,0,0,0,1,3,0,1,0,0,0,27,1,1,5874.0,0.17228487500256776,50.5,3
55,1,1,2,4,17870,174.31,19,3,0,2,6,2,1,0,1,1,3,0,0,2,3,0,0,12,1,1,17870.0,0.3580657751484152,68.0,0
19,1,8,2,3,12213,166.4,15,2,0,1,9,1,1,0,1,0,2,2,0,2,1,0,0,8,1,0,12213.0,0.3418171360489719,54.5,2
38,1,11,1,2,13587,17.78,19,5,0,0,22,2,0,1,0,1,2,1,0,5,0,0,0,24,1,0,13587.0,0.036523489657155774,91.0,1
50,1,12,1,3,13403,88.24,31,5,0,1,23,2,0,1,1,1,3,0,0,5,0,0,0,24,2,0,13403.0,0.1812616832028923,106.5,0
29,0,5,1,2,13924,56.78,30,5,0,2,8,2,1,0,0,1,2,0,0,5,0,0,5,15,1,0,13227.8,0.11663688091863356,84.0,0
39,1,12,0,1,9955,80.49,27,1,0,2,1,1,1,1,0,1,3,0,1,3,3,0,20,9,0,0,7964.0,0.16534171442657297,75.5,3
61,0,11,0,2,14487,93.62,19,5,1,2,7,1,1,0,0,0,1,0,0,5,1,0,5,24,1,0,13762.65,0.1923132228179372,68.5,0
42,1,8,1,2,13592,196.3,20,5,0,2,56,2,0,0,0,0,0,1,0,1,0,0,10,5,1,1,12232.800000000001,0.40323740268277153,38.0,1
66,0,8,2,0,5096,8.23,26,4,1,2,12,3,1,0,1,1,3,1,0,5,1,0,20,30,2,0,4076.8,0.016905979745691337,101.0,1
44,1,1,1,0,5491,73.43,17,5,0,1,39,2,1,1,0,0,2,1,1,3,0,0,0,0,2,0,5491.0,0.150839136418726,79.5,4
59,0,10,1,3,12860,66.24,28,2,0,2,17,4,0,0,0,1,1,2,0,3,1,0,5,13,2,0,12217.0,0.13606951377334073,53.5,2
