YEAR,OPID,OTT 서비스 주중 이용 시간(분 기준 환산),OTT 서비스 주말 이용 시간(분 기준 환산)
2021,1000001,30,30
2021,1000002,60,60
2021,100001,120,120
2021,100002,,
2021,100003,,
2021,10001,20,20
2021,10002,30,30
2021,100020001,20,20
2021,100020002,15,20
2021,100020003,10,0
2021,10003,60,60
2021,100030001,10,10
2021,10004,30,60
2021,100050001,20,20
2021,100050002,20,20
2021,100050003,5,5
2021,100060001,10,10
2021,100060002,10,10
2021,100060003,30,30
2021,100060004,20,20
2021,100070001,10,10
2021,100070002,20,20
2021,100080001,10,0
2021,100080002,20,20
2021,100090001,20,20
2021,100090002,20,20
2021,100120001,10,10
2021,100120002,10,10
2021,100130001,10,5
2021,100130002,10,10
2021,100140001,10,10
2021,100140002,10,10
2021,100160001,10,10
2021,100160002,10,10
2021,100160003,10,10
2021,100170001,15,15
2021,100170002,10,10
2021,100170003,10,10
2021,100180001,10,15
2021,100180002,10,10
2021,100190001,,
2021,100190002,,
2021,100190003,30,30
2021,100200001,10,10
2021,100200002,20,30
2021,100200003,,
2021,10020001,20,30
2021,10020002,40,40
2021,10020003,30,60
2021,100210001,,
2021,100210002,,
2021,100250001,10,30
2021,100250002,180,180
2021,100250003,,
2021,100260001,,
2021,100260002,,
2021,100270001,15,15
2021,100270002,30,30
2021,100280001,,
2021,100280002,,
2021,100290001,10,10
2021,100290002,,
2021,100290003,20,10
2021,100290004,15,10
2021,100300001,5,5
2021,100300002,,
2021,100300003,10,10
2021,100300004,10,10
2021,100310001,,
2021,100310002,10,10
2021,100310003,30,20
2021,100320001,,
2021,100320002,20,10
2021,100330001,20,15
2021,100330002,10,10
2021,100330003,10,10
2021,100360001,10,10
2021,100360002,10,10
2021,100360003,10,10
2021,100370001,10,30
2021,100370002,,
2021,100380001,10,10
2021,100380002,10,10
2021,100390001,10,10
2021,100390002,5,10
2021,100400001,10,10
2021,100400002,10,10
2021,10040001,10,10
2021,10040002,30,30
2021,10040003,50,50
2021,100410001,20,20
2021,100410002,,
2021,100420001,,
2021,100420002,,
2021,100420003,,
2021,100430001,,
2021,100440001,,
2021,100440002,,
2021,100440003,60,110
2021,100440004,60,120
2021,100450001,,
2021,100460001,,
2021,100460002,,
2021,100460003,15,40
2021,100470001,,
2021,100480001,,
2021,100490001,,
2021,100490002,,
2021,100490003,,
2021,100490004,15,40
2021,100490005,15,40
2021,100500001,,
2021,100500002,,
2021,10050001,,
2021,10050002,5,0
2021,100510001,,
2021,100510002,30,60
2021,100520001,,
2021,100520002,,
2021,100520003,40,90
2021,100530001,,
2021,100530002,,
2021,100530003,15,30
2021,100540001,,
2021,100540002,,
2021,100550001,,
2021,100550002,10,20
2021,100550003,20,40
2021,100560001,,
2021,100560002,60,110
2021,100570001,,
2021,100570002,,
2021,100570003,60,120
2021,10060001,,
2021,10060002,20,50
2021,10060003,30,30
2021,10060004,10,30
2021,100620001,,
2021,100620002,,
2021,100620003,60,120
2021,100630001,60,90
2021,100630002,100,130
2021,100640001,30,30
2021,100650001,30,30
2021,100650002,10,10
2021,100660001,5,5
2021,100660002,10,10
2021,100670001,,
2021,100670002,,
2021,100670003,30,30
2021,100680001,20,20
2021,100680002,15,15
2021,100680003,30,30
2021,100690001,30,30
2021,100690002,10,10
2021,100690003,30,30
2021,100700001,30,30
2021,100700002,10,10
2021,100700003,30,30
2021,10070001,,
2021,100710001,,
2021,100720001,,
2021,100730001,,
2021,100730002,15,40
2021,100730003,30,60
2021,100750002,,
2021,100760001,,
2021,100760002,20,45
2021,100760003,,
2021,100770001,20,50
2021,100780001,,
2021,100780002,10,20
2021,100790001,,
2021,100800001,,
2021,100800002,15,30
2021,10080001,30,30
2021,100820001,,
2021,100820002,,
2021,100820003,10,10
2021,100830001,20,60
2021,100830002,10,30
2021,100830003,20,30
2021,100830004,20,60
2021,100840002,,
2021,100860001,,
2021,100860002,,
2021,100860003,30,30
2021,100870001,,
2021,100870002,,
2021,100880001,30,30
2021,100880002,20,60
2021,100880003,5,20
2021,100880004,60,60
2021,10090001,120,120
2021,100910001,10,30
2021,100910002,15,30
2021,100910003,20,10
2021,100910004,30,30
2021,10100001,,
2021,1010002,60,60
2021,1010003,30,30
2021,1010004,,
2021,10110001,,
2021,101110001,,
2021,101110002,,
2021,101110003,60,60
2021,101140001,,
2021,101140002,,
2021,101140003,,
2021,101140004,,
2021,101150001,,
2021,101150002,60,60
2021,101150003,180,240
2021,101150004,,
2021,101180001,,
2021,101180002,,
2021,101180003,,
2021,101190001,,
2021,101190002,30,10
2021,101190003,,
2021,101200001,10,10
2021,101200002,10,10
2021,101200003,,
2021,101210001,30,30
2021,101210002,30,60
2021,101210003,180,270
2021,101210004,20,20
2021,101220001,30,30
2021,101220002,30,30
2021,10130002,90,90
2021,10130003,60,120
2021,10140001,,
2021,10150001,,
2021,101550001,,
2021,101550002,30,60
2021,101560001,,
2021,101560002,90,120
2021,101570001,,
2021,101570002,,
2021,101570003,110,60
2021,101580001,,
2021,101580002,,
2021,101580003,,
2021,101590001,,
2021,101590002,120,120
2021,101590003,90,0
2021,101590004,,
2021,101600001,20,30
2021,10160001,,
2021,101610001,,
2021,101610002,,
2021,101610003,180,170
2021,101610004,90,180
2021,101620001,,
2021,101620002,,
2021,101620003,90,120
2021,101630001,30,30
2021,101640001,160,200
2021,101650001,,
2021,101660001,,
2021,101690001,,
2021,101700001,,
2021,101700002,,
2021,101700003,120,180
2021,101700004,,
2021,101710001,30,30
2021,101710002,60,60
2021,101710003,,
2021,101720001,,
2021,101720002,,
2021,101720003,120,90
2021,101720004,120,210
2021,101730001,,
2021,101730002,,
2021,101730003,30,30
2021,101730004,60,30
2021,101740001,,
2021,101740002,10,5
2021,101740003,,
