gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,Yes,No,6,No,No,Fiber optic,Yes,No,Yes,No,No,No internet service,Month-to-month,No,Mailed check,66.71,581.67,1
Male,1,Yes,No,56,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,No,No,One year,Yes,Bank transfer (automatic),95.67,5275.06,0
Male,0,No,No,47,Yes,No phone service,DSL,No internet service,No internet service,No,Yes,No internet service,No,Month-to-month,No,Mailed check,110.14,5182.21,0
Male,0,Yes,No,32,Yes,No phone service,No,Yes,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,91.51,2834.22,1
Female,0,No,No,31,Yes,No,Fiber optic,Yes,No,Yes,No internet service,Yes,No internet service,One year,Yes,Bank transfer (automatic),116.25,3541.54,0
Female,0,Yes,No,62,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,97.76,6010.71,0
Male,1,No,No,6,Yes,No,DSL,Yes,No,No internet service,Yes,No,No internet service,One year,No,Electronic check,106.41,553.89,0
Female,0,No,No,50,Yes,No phone service,No,No internet service,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),29.64,1397.85,0
Female,0,No,No,14,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,No internet service,Yes,One year,Yes,Mailed check,92.71,1286.4,1
Male,0,No,No,6,Yes,Yes,Fiber optic,No,No,No,No internet service,No,No internet service,One year,No,Bank transfer (automatic),62.89,280.0,1
Male,0,Yes,Yes,38,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No,No internet service,Month-to-month,No,Mailed check,74.42,2895.33,0
Female,0,No,No,71,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),84.72,5941.7,0
Male,0,Yes,Yes,53,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,No,No,One year,No,Credit card (automatic),116.92,6421.53,0
Male,0,Yes,No,55,Yes,No phone service,No,No internet service,No internet service,Yes,Yes,No,No internet service,Month-to-month,No,Mailed check,118.43,6477.54,0
Male,0,Yes,Yes,52,Yes,No,DSL,No internet service,No,Yes,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),47.4,2470.56,0
Male,0,No,Yes,57,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,92.84,5188.25,0
Male,0,No,No,37,Yes,No,DSL,No internet service,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),94.5,3632.99,0
Male,0,No,No,9,Yes,No phone service,DSL,Yes,Yes,No internet service,No internet service,Yes,No,Two year,No,Electronic check,53.34,569.62,0
Male,0,Yes,No,61,Yes,No,Fiber optic,Yes,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),30.63,1892.18,0
Female,0,Yes,No,32,Yes,No,No,No,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),22.18,602.02,1
Male,0,No,Yes,36,Yes,No,DSL,Yes,No internet service,Yes,No internet service,No internet service,No,Two year,No,Electronic check,97.29,3519.29,0
Female,0,No,No,27,Yes,No,Fiber optic,Yes,Yes,Yes,No,No internet service,No,Two year,No,Electronic check,67.95,1744.94,0
Female,0,No,No,13,Yes,Yes,Fiber optic,No internet service,No,No internet service,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),118.53,1657.88,1
Female,0,Yes,No,67,No,Yes,DSL,No,No internet service,No,No,No,Yes,Two year,Yes,Credit card (automatic),65.43,4448.55,0
Female,1,Yes,No,57,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),117.75,6719.39,0
Male,0,Yes,Yes,47,Yes,No phone service,No,No internet service,Yes,No internet service,Yes,No,No internet service,One year,No,Electronic check,59.98,2624.15,0
Male,0,No,No,29,No,No,DSL,No,No,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),98.96,2791.17,1
Male,0,Yes,No,60,Yes,No phone service,DSL,No,No,Yes,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,26.65,1654.02,0
Female,0,No,Yes,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),74.66,3008.77,0
Female,0,Yes,No,32,Yes,Yes,DSL,Yes,No,No internet service,No internet service,No,No,One year,No,Credit card (automatic),99.81,3282.65,0
Female,0,Yes,No,32,Yes,No phone service,DSL,No internet service,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),112.32,3466.88,1
Male,0,No,Yes,16,Yes,No phone service,No,No internet service,Yes,No internet service,Yes,Yes,No,Month-to-month,Yes,Mailed check,101.9,1654.52,1
Male,0,Yes,No,6,No,No,No,Yes,No,No,Yes,No internet service,No,One year,No,Mailed check,21.77,211.86,0
Female,1,Yes,Yes,40,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),56.02,2108.13,1
Female,0,No,Yes,64,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,No,No,Two year,Yes,Electronic check,22.97,1469.45,0
Female,0,Yes,No,4,Yes,Yes,No,No internet service,Yes,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,29.15,138.51,0
Male,1,No,Yes,62,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,No,Month-to-month,No,Electronic check,86.88,5362.5,0
Male,1,Yes,Yes,60,Yes,No,Fiber optic,Yes,No,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),90.75,5296.83,1
Male,0,Yes,No,20,Yes,No phone service,No,No internet service,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,96.92,1912.34,1
